Clock frequency is approx. 2400.0 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	16218	9024	6230	4825	3843	3251	2790	2411	2167	1990	1889	1757	1667	1616	1545	
64m	16438	9352	6543	4943	3941	3331	2871	2544	2286	2102	1942	1793	1685	1611	1555	
32m	16239	9737	6835	5221	4239	3484	3037	2718	2468	2310	2134	1980	1852	1785	1690	
16m	17046	9842	7467	5695	4712	4109	3677	3258	3037	2809	2725	2567	2478	2417	2416	
8m	22256	14539	11573	8791	6830	5844	5352	4753	5046	5229	5406	5521	5619	5681	5485	
4m	33408	25202	20969	17002	14158	12220	10664	9423	9024	8690	8386	8112	7906	7730	7598	
2m	33379	25163	20962	17012	14191	12249	10716	9465	9094	8749	8439	8134	7932	7759	7606	
1024k	33400	25592	21124	16958	14071	12126	10588	9436	9049	8693	8313	8059	7869	7643	7566	
512k	33430	25844	21498	17363	14425	12446	10856	9609	9306	8986	8716	8506	8399	8334	8395	
256k	36870	28871	26493	23926	21027	18480	16407	14678	14545	14577	14726	14954	15151	15474	15674	
128k	38560	31245	30570	29235	26105	23116	20482	18636	18035	16697	18888	19650	20097	15935	15285	
64k	39048	31060	30376	29388	26040	23156	20766	18832	18279	17436	18143	17759	17383	18179	31775	
32k	48248	46370	45351	44482	42737	42279	40412	37521	38655	40528	47021	45500	41425	39549	45186	
16k	48071	46370	44885	42741	41821	45500	44572	41654	42000	44673	41554	39951	43200	36000	40950	
